review_description
"Generally a good service, but! I'm a traveler and digital nomad so I change my location quite often and in order to continue using Spotify I have to change my country in the settings if my account. Can't we make it automatically? It's quite outdated to bind people to an adress. While I can understand that there might be payment/currency issues, but even on the free version it's happening as well."
I dont pay for many services but Spotify Premium is worth it to me. Ive been able to rediscover music I had forgotten about and can always find a playlist to suit my mood.
"My style of music, I get what I'm looking for and quickly"
Amazing user experience with plenty of options on music/podcasts
"Yeah what is to add, best app to listen to music. Premium users on family plan, which is quite reasonably priced. Appreciate the music quality options for download/streaming."
"Didn't realize how amazing Spotify is until I used Amazon Music (free trial). This app is far, far superior to Amazon Music. Very intuitive, quick, and does exactly what you want it to."
"Most bugs and requests I have reported to Spotify have been fixed and developed. This is how developers should react to feedback. One bug though remains: A downloading notification for Spotify playlists, remains (when playlist is automatically renewed) even if the download is over and the only way to get rid of it is to tap on it thus opening the app. Then it immediately goes away. Ps. How about a new UI theme choice? :!-)"
"There are other apps too stop pretending like you're the only one out there spotify. Even if that doesn't work I can just pirate music. Other than you insisting that ""you shall bear with the ads or perish"" your service is actually pretty good, both sound quality and ui wise very pog."
"I love this app. I love how it chooses just the right song based on my activy, unlike with other apps that chooses a way different genre of a song I'm playing which sucks. But I hope there could be a button or a feature wherein we don't have to swipe up for the lyrics every single time, just something that would show the lyrics automatically for all songs we're playing. If you get the idea? I'll be looking forward for it."
There should be an option to download individual songs. Could also use an even a quicker way of adding a song to a playlist.
unpopular opinion but i actually like the newer player ui. nicely done spotify team. Try to make it a little less cluttered and your app will be even better
"5 stars, the only thing that annoys me is when you accidentally click the like button on an old song that you liked, so you remove it from liked songs and you can't undo it. If it at least wasn't right next to play/pause button..."
"so many bugs! remote playing basically does not work at all, the UI does often not respond and random playing does not work."
Recommendations are so damn Perfect. Interface is quite good and with the green and black theme it feels sick !
"I have been using Spotify for my family and I since 2015. And I never intend to stop. It is my most used app on my phone. I love having Premium. It is definitely worth the money, everything about Spotify is amazing, and I've already managed to convert quite a few people. Keep up the incredible work. The pre-made Playlists are great for indecisive people such as myself, that only know the mood they're in, and Spotify does all the rest!! They literally have everything you could ask for, and more!"
"Hello, Spotify team, Gives a clear button for recent played Because person to person they changes their mind for listening songs and that's annoying for hearing same songs in different mood or mindset of same person. So pleased, suggest this upgrade to your team leader, Thank you."
